City,Id,Code,Demand,Population
Alcacer do Sal,1,C_1,52.00,7733
Aveiro,2,C_2,515.00,77241
Beja,3,C_3,160.00,24079
Braga,4,C_4,1208.00,181182
Bragança,5,C_5,152.00,22693
Castelo Branco,6,C_6,230.00,34471
Coimbra,7,C_7,896.00,134348
Covilhã,8,C_8,122.00,18220
Estremoz,9,C_9,53.00,7890
Évora,10,C_10,313.00,46966
Faro,11,C_11,407.00,61073
Guarda,12,C_12,177.00,26446
Lagos,13,C_13,158.00,23653
Leiria,14,C_14,406.00,60876
Lisboa,15,C_15,12250.00,1842352
Portalegre,16,C_16,96.00,14318
Porto,17,C_17,6324.00,948613
Santarém,18,C_18,200.00,30021
Setúbal,19,C_19,780.00,116979
Viana do Castelo,20,C_20,168.00,25158
Vila real,21,C_21,161.00,24112
Viseu,22,C_22,397.00,59469
