Service_Point_A,Service_Point_B,Capacity,Direction
PS_71,C_1,32,1
PS_77,C_1,32,1
PS_56,C_10,80,1
PS_68,C_10,120,1
PS_70,C_10,100,1
PS_80,C_11,200,1
PS_81,C_11,210,1
PS_36,C_12,200,1
PS_35,C_12,200,1
PS_80,C_13,160,1
PS_38,C_14,170,1
PS_39,C_14,175,1
PS_40,C_14,120,1
PS_60,C_15,2700,1
PS_61,C_15,3000,1
PS_63,C_15,6000,1
PS_62,C_15,750,1
PS_52,C_16,35,1
PS_45,C_16,35,1
PS_51,C_16,35,1
PS_19,C_17,2000,1
PS_17,C_17,4000,1
PS_20,C_17,1000,1
PS_46,C_18,55,1
PS_47,C_18,55,1
PS_48,C_18,55,1
PS_49,C_18,55,1
PS_65,C_19,800,1
PS_22,C_2,260,1
PS_26,C_2,300,1
PS_1,C_20,100,1
PS_2,C_20,100,1
PS_13,C_21,55,1
PS_15,C_21,55,1
PS_16,C_21,55,1
PS_27,C_22,100,1
PS_28,C_22,100,1
PS_24,C_22,100,1
PS_29,C_22,100,1
PS_72,C_3,40,1
PS_75,C_3,40,1
PS_73,C_3,40,1
PS_74,C_3,40,1
PS_3,C_4,300,1
PS_4,C_4,350,1
PS_5,C_4,400,1
PS_6,C_4,300,1
PS_9,C_5,80,1
PS_10,C_5,80,1
PS_44,C_6,80,1
PS_43,C_6,80,1
PS_45,C_6,80,1
PS_30,C_7,300,1
PS_32,C_7,300,1
PS_31,C_7,300,1
PS_33,C_7,300,1
PS_35,C_8,125,1
PS_54,C_9,60,1
PS_11,PS_10,60,1
PS_12,PS_13,180,0
PS_14,PS_11,40,1
PS_14,PS_12,10,0
PS_17,PS_21,1000,0
PS_18,PS_17,3000,0
PS_18,PS_19,2000,0
PS_21,PS_20,1000,1
PS_22,PS_25,1000,0
PS_23,PS_25,1000,0
PS_23,PS_27,500,1
PS_23,PS_24,1000,0
PS_25,PS_26,1000,0
PS_3,PS_4,500,0
PS_30,PS_26,500,1
PS_30,PS_32,500,1
PS_32,PS_37,500,1
PS_34,PS_29,30,1
PS_34,PS_33,30,1
PS_37,PS_38,500,1
PS_38,PS_39,500,0
PS_7,PS_4,100,1
PS_40,PS_46,200,1
PS_41,PS_39,200,1
PS_41,PS_40,400,1
PS_42,PS_44,8250,1
PS_44,PS_43,200,0
PS_49,PS_58,8000,0
PS_49,PS_59,9000,0
PS_50,PS_49,14000,0
PS_51,PS_53,9000,0
PS_53,PS_55,9000,1
PS_55,PS_56,100,1
PS_57,PS_50,500,0
PS_57,PS_67,500,0
PS_58,PS_62,3000,0
PS_59,PS_60,2000,0
PS_59,PS_61,4000,1
PS_59,PS_62,4000,1
PS_60,PS_61,3000,0
PS_63,PS_62,3000,0
PS_63,PS_64,4000,0
PS_64,PS_58,4000,0
PS_64,PS_62,4000,0
PS_65,PS_63,2000,0
PS_66,PS_64,1000,0
PS_66,PS_65,1000,0
PS_66,PS_71,1000,0
PS_67,PS_66,1000,0
PS_57,PS_68,100,1
PS_69,PS_68,100,0
PS_7,PS_13,40,1
PS_76,PS_74,20,1
PS_79,PS_80,200,0
PS_8,PS_9,100,1
PS_9,PS_10,20,0
PS_44,PS_45,9000,0
PS_45,PS_51,9000,0
PS_55,PS_50,11000,1
R_1,PS_21,1000,1
R_1,PS_22,800,1
R_1,PS_23,1000,1
R_10,PS_16,75,1
R_10,PS_17,75,1
R_10,PS_21,75,1
R_10,PS_24,75,1
R_11,PS_35,100,1
R_12,PS_34,30,1
R_12,PS_43,20,1
R_13,PS_41,2000,1
R_13,PS_42,9000,1
R_13,PS_47,800,1
R_14,PS_48,50,1
R_14,PS_49,80,1
R_15,PS_52,200,1
R_15,PS_53,200,1
R_15,PS_54,100,1
R_16,PS_50,800,1
R_16,PS_51,900,1
R_16,PS_55,2000,1
R_17,PS_50,3000,1
R_18,PS_67,1000,1
R_18,PS_69,500,1
R_18,PS_71,1000,1
R_19,PS_69,20,1
R_19,PS_70,20,1
R_19,PS_72,20,1
R_2,PS_25,1000,1
R_2,PS_30,1000,1
R_2,PS_31,1000,1
R_20,PS_75,20,1
R_20,PS_76,20,1
R_21,PS_79,120,1
R_21,PS_80,120,1
R_22,PS_81,300,1
R_23,PS_77,150,1
R_23,PS_79,150,1
R_24,PS_73,30,1
R_24,PS_74,30,1
R_24,PS_77,30,1
R_3,PS_14,20,1
R_3,PS_15,25,1
R_4,PS_12,200,1
R_4,PS_7,150,1
R_4,PS_8,200,1
R_5,PS_1,2000,1
R_5,PS_3,1500,1
R_6,PS_18,4000,1
R_6,PS_5,2000,1
R_6,PS_6,2000,1
R_7,PS_19,900,1
R_7,PS_2,800,1
R_7,PS_5,800,1
R_8,PS_28,600,1
R_9,PS_36,250,1
